Name,Latitude,Temperature,WindSpeed,Cloudiness,Humidity
Lozuvatka,48.06,266.15,7,90,79
Pontaumur,45.87,273.15,1,90,96
Tateyama,34.98,278.15,4.6,75,52
Bady Bassitt,-20.92,301.15,2.1,40,51
Marietta-Alderwood,48.79,283.44,2.6,1,61
Berehove,48.21,263.15,1.5,88,92
Montagnac-d'Auberoche,45.18,278.15,3.6,90,86
Niandou,31.43,277.15,3,90,93
Staraya Ruza,55.65,262.15,3,0,85
Metjendorf,53.19,280.15,4.6,75,87
Norderstapel,54.35,277.44,6.7,75,80
An der Wae,51.2,279.43,3.6,75,93
Escó,42.62,276.16,6.7,40,64
Gottesgabe,53.63,274.735,5.81,12,93
Raon-aux-Bois,48.06,273.18,1,90,100
Saint-Georges-Haute-Ville,45.55,273.85,0.5,90,86
Bilshivtsi,49.18,258.15,1,80,92
Burlata,42.83,276.84,6.7,40,64
Au,47.42,272.15,2.1,75,92
Caldicot,51.59,280.15,4.6,90,93
Visnagar,23.7,286.15,1.5,0,58
Torrent,39.44,274.64,1.5,0,69
Kampungbaru,-8.5,297.15,1,40,100
Shireet,45.73,252.16,3.91,0,76
Corbeyrier,46.35,272.66,0.5,20,63
Fleurieu-sur-Saone,45.86,273.62,1.5,90,69
Beech Forest,-38.63,296.485,1.76,36,56
Intorsura Buzaului,45.68,266.385,1.11,64,96
Zālah Nāw,35.08,269.15,3.1,8,100
San Pablo,37.96,286.12,3.1,75,93
Cuatro Calles (historical),18.49,295.15,1.41,90,73
Valdemorillo de la Sierra,40.04,268.15,2.1,0,85
Ottringham,53.7,280.65,4.1,0,81
Risum-Lindholm,54.77,277.54,4.1,75,86
Sirsaganj,27.05,279.985,1.26,0,82
Torkelstorp,57.44,274.15,2.1,0,69
Asuncion,-25.3,303.15,1,40,66
els Plans de Sió,41.73,274.18,3.1,0,68
Castroserna de Abajo,41.21,265.71,1.96,0,84
Piocera,-18.75,285.76,0.96,76,96
San Vitaliano,40.93,275.8,4.1,0,65
Kinnula,63.33,273.985,5.91,88,68
Oberofflingen,50.07,276.02,5.1,90,100
Focene,41.81,275.82,2.6,0,59
Crach,47.62,280.15,2.6,90,87
Lavenstedt,53.34,279.39,4.6,75,87
Carlino,45.8,272.25,0.5,75,74
Chamadelle,45.1,278.48,3.6,90,86
Ramonchamp,47.89,273.16,1,90,100
Ewa,-8.62,301.21,2.11,64,100
AElvsbyn,65.68,273.66,7.7,0,55
Sed’moy Mikrorayon,55.56,261.75,3,0,85
Gemeente Zijpe,52.8,280.65,4.1,90,100
Casalfiumanese,44.3,271.44,3.1,0,66
Neulliac,48.13,279.82,2.1,90,87
Piątnica,53.22,274.185,5.66,48,92
Prachamtakham,14.06,296.46,0.51,76,89
Valongo,40.62,281.15,2.6,0,82
Dolni Zandov,50.02,272.15,6.2,90,92
Deiningen,48.87,272.45,7.2,92,86
Andekantor,-9.58,299.885,1.31,32,87
Lavassaare,58.51,272.86,6.46,0,86
Urones de Castroponce,42.1,266.15,1.5,0,92
Las Margaritas,16.32,288.96,1.11,0,82
Allueva,40.98,271.73,0.5,8,55
Gatzen,51.12,277.17,5.7,92,86
Protea,-22.57,289.97,2.1,0,82
Cesny-Bois-Halbout,48.99,279.15,3.1,75,100
Etinan,4.84,298.435,3.86,0,89
Cisujen Satu,-6.98,300.76,2.06,56,100
Testorf-Steinfort,53.78,276.15,5.1,75,86
Leetonia,40.88,270.06,1.67,1,55
Heiligenstedtenerkamp,53.9,278.52,5.7,75,75
Margate,-43.03,295.15,8.2,40,40
Niederschonenfeld,48.72,271.89,7.2,92,86
Hachiville,50.11,276.71,3.6,75,100
Calumpang,15.17,297.15,1,90,78
Albiano dIvrea,45.43,267.25,1,0,59
Rocca Grimalda,44.67,279.15,2.6,0,26
Tshaneni,-25.98,298.18,3.1,32,69
Kruchinino,54.77,259.15,2,90,92
Dahme,54.22,276.06,6.61,12,98
Loarre,42.31,275.32,4.6,0,87
San Juan Talpa,13.5,301.6,3.1,40,51
Bistrica ob Sotli,46.06,267.15,1,76,85
La Oroya,-11.52,275.885,0.91,92,100
Vorderhindelang,47.5,271.08,3.6,92,92
Suchiate,14.55,304.15,5.1,40,52
Falcon Heights,42.14,277.55,2.1,1,76
Krajan Karangwage,-6.64,298.71,1.61,68,100
Tieba,33.36,260.935,0.71,88,92
Brykin Bor,54.7,262.335,1.66,68,90
Powiat słupski,54.42,273.26,4.56,8,97
San Francisco Culhuacán,19.33,288.31,1.11,8,39
Hullavington,51.54,280.15,3.6,90,93
Kiangan,16.78,291.235,0.96,36,88
Fuentelcésped,41.6,265.71,1.96,0,84
Saint-Christoly-de-Blaye,45.13,278.62,1.5,90,81
Provincia di Pisa,43.42,271.12,1.5,0,92
Vilar de Maçada,41.32,266.96,0.86,0,73
Casalgrande,44.58,273.15,3.1,0,62
Cortes de Arenoso,40.19,271.2,2.1,0,85
Manzanilla,37.39,278.15,2.6,0,56
Dietramszell,47.85,270.87,10.3,75,86
Valtierrilla,20.53,290.71,1.66,64,67
Villers-la-Ville,50.58,278.9,2.6,75,93
Esino,56.15,259.985,4.91,56,87
Ramonchamp,47.9,273.16,1,90,100
Vagur,61.47,281.01,14.01,36,99
Département des Bouches-du-Rhône,43.5,275.15,6.2,0,64
Alt Bukow,54,276.15,5.1,75,86
Woodlyn,39.87,272.13,6.12,1,36
Jalalabad,27.72,281.01,1.26,0,85
Khallat Hamamah,31.72,281.15,1.5,0,87
Kanodar,24.1,286.2,2.12,0,63
Masally,39.04,273.15,0.31,5,90
Panggungrejo,-8.15,299.185,3.11,44,100
Soini,62.83,273.76,7.46,76,71
San Biagio Platani,37.51,267.96,1.16,12,100
Rabka-Zdroj,49.61,268.61,5.7,75,92
Bettmeralp,46.39,271.99,0.5,40,92
Zamami,26.22,295.57,4.1,75,88
Villa Azurduy,-20.1,289.135,1.01,92,91
Holzerath,49.68,275.34,5.1,90,100
Petrovichi,53.98,259.06,5.36,88,77
Peranampattu,12.93,287.31,1.56,92,86
Kalieung,-7.32,293.085,1.11,8,97
Stony Point,35.86,279.46,1.5,1,39
Goombi,-26.68,300.36,3.71,0,57
Crete,40.63,275.96,2.6,90,75
Ehrl,50,273.15,3.6,75,96
Rollands Plains,-31.28,299.15,4.1,8,57
Rio Tavares,-27.65,300.15,3.1,40,74
Chareil-Cintrat,46.27,273.15,1,90,96
Kadoka,43.83,279.85,3.6,75,65
Newcastle,38.87,286.76,4.1,1,50
Mundoona,-36.17,302.685,1.91,0,60
Streithausen,50.7,280.15,7.7,75,87
Chilca,-12.52,298.15,6.7,75,69
Pertheville-Ners,48.88,279.15,3.1,75,100
Stammham,48.25,270.15,5.1,75,86
Ursberg,48.26,270.91,7.2,92,86
Sarras,45.18,273.66,2.6,75,86
Moina,-41.45,292.735,5.56,8,54
Weibhausen,47.9,270.15,5.1,75,86
Potala Pastillo,17.99,299.15,2.1,75,78
Zacapoaxtla,19.88,289.185,0.76,32,49
Greenwood County,34.17,282.16,1.26,1,33
Shangdu,42.25,256.435,2.16,56,59
Katipunan,7.32,296.15,3.1,90,100
Sao Miguel do Araguaia,-13.28,296.81,1.06,64,93
Shenjing,21.98,290.36,1.61,92,96
Traspinedo,41.59,270.435,3.86,0,84
Cipari,-7.54,300.435,1.71,80,100
Stara Zagora,42.43,274.15,2.1,75,80
Balesti,45.02,260.335,0.91,8,62
Vargem Grande,-3.54,294.735,1.26,80,99
Conguaco,14.04,301.15,2.6,0,45
Samoylova,44.77,281.15,9,92,100
Gara,46.03,271.15,2.6,0,79
Goldach,47.47,271.91,1,75,100
Escalos de Cima,39.93,272.935,3.01,0,80
Liuao,29.09,281.885,10.76,0,100
Yonghe,23.18,289.77,2,75,77
Kalamnuri,19.67,287.01,3.51,0,89
Cardona,14.49,297.15,7.26,20,94
Pozo de Ávila,-29.37,293.985,1.21,36,78
São João da Madeira,40.9,279.01,1.5,0,61
Wolfstein,49.58,274.59,5.1,90,100
Bourne End,51.58,279.95,4.1,90,81
Albertshofen,49.77,272.14,4.6,90,100
Steeg,47.24,268.46,1,75,100
Roa,60.29,268.15,1.06,0,67
Raulhac,44.9,272.7,5.1,75,100
Krupnik,41.85,260.81,0.86,48,77
Bostonia,32.81,289.57,5.1,75,75
Rodenbach,50.15,275.69,4.1,75,93
Xertigny,48.05,273.18,1,90,100
Khlebnikovskiy,55.97,261.72,5,80,85
Pecetto di Valenza,44.99,276.62,2.6,0,26
Krasnodarskiy Kray,45,281.15,5,20,87
Uboldo,45.62,272.75,1.5,0,63
Westgreussen,51.25,275.15,5.7,75,93
Barauna,-5.08,299.46,3.96,36,80
Grandfresnoy,49.37,278.95,2.1,75,93
Ranggen,47.27,270.15,1,75,92
Capriana,46.26,275.15,1.5,20,37
Swieta Katarzyna,51.03,275.15,7.2,75,94
Canyonville,42.93,282.46,2.51,1,66
San Pasqual,33.09,289.61,1.5,1,55
Fgura,35.87,280.15,3.6,40,75
Dreikirchen,50.43,275.86,4.1,75,93
Reisach,49.28,272.31,3.6,90,92
Feebrack,53.15,282.15,6.7,75,93
Mallin,53.53,273.56,5.31,0,90
Prescot,53.43,281.62,6.2,40,81
Haza,41.58,265.71,1.96,0,84
Salvador,-12.97,301.15,3.1,40,74
Muckwar,51.68,277.12,4.1,75,100
Vassar,49.1,266.15,4.1,90,85
District de Sion,46.23,272.15,0.5,20,63
Wadung,-6.81,298.835,1.86,64,100
Cikamarang Satu,-7.32,296.385,1.51,8,93
Leopoldina,-21.53,301.01,5.06,80,53
Boucé,48.65,279.15,3.1,75,100
Perthes,48.48,279.65,3.1,90,93
Beaune-sur-Arzon,45.28,272.15,0.5,90,86
Burjassot,39.51,274.65,1.5,0,69
Sibley,32.54,283.22,2.1,90,55
Horodne,45.89,263.26,1.51,0,85
San Francisco del Rincon,21.02,293.31,3.56,80,41
Walbridge,41.59,270.47,2.1,1,74
Lys-lez-Lannoy,50.67,279.65,4.1,90,93
Grafenrheinfeld,50,271.92,4.6,90,100
Riegenroth,50.05,275.66,5.1,90,100
Pura Raghunāth,25.45,281.685,1.26,0,82
Kolokani,13.57,293.185,4.31,12,34
Cinunjang,-7.42,293.085,1.11,8,97
Ramapuram,15.28,287.96,2.01,0,94
Stroesti,47.62,265.15,2.6,0,92
Temandangjero,-6.86,298.835,1.86,64,100
Yegorlykskaya,46.57,278.51,8.16,92,92
Département de l'Isère,45.17,272.13,2.6,75,66
Traian,43.77,269.15,4.1,20,79
Wathlingen,52.53,279.15,5.7,75,87
Bangun,-7.36,296.71,1.96,48,100
Brockel,53.1,279.34,4.6,75,87
Moratinos,42.36,266.15,1.5,0,92
Ebermannstadt,49.78,272.69,3.6,75,98
Okuta,9.22,294.56,1.86,12,49
Cotillas,38.43,263.76,0.86,0,68
Puilboreau,46.18,279.58,1.96,90,100
Eastwood,32.56,283.25,2.1,90,55
Haskins,41.46,270.8,1.5,1,57
Zahara,36.84,276.68,2.1,20,64
Roma,41.89,275.83,3.6,0,64
Mantenopolis,-18.86,297.71,4.66,64,76
Pak Phayun,7.34,297.15,2.56,75,94
Limburg an der Lahn,50.38,275.66,4.1,75,93
Calubcub Dos,13.75,298.21,4.76,24,83
Novomykolayivka,47.98,273.15,6,90,98
Ferreira do Zêzere,39.72,277.15,1,0,86
Centennial,41.3,271.62,5.7,90,92
Yanrui,28.71,276.96,1.01,64,94
Leisuretowne,39.89,272.24,5.1,1,29
Castelgrande,40.79,270.15,2.6,75,86
Washington County,45.03,272.94,3.1,1,68
Taufkirchen,48.04,271.32,10.3,75,86
Hougong,35.36,260.585,1.16,12,71
Järvakandi vald,58.78,272.86,6.46,0,86
Clares de Ribota,41.53,278.15,9.8,0,65
Somerset West,-34.08,288.15,2.1,20,93
Idaho City,43.83,281.88,3.6,1,70
Kruishoutem,50.9,279.81,4.1,80,81
Vistino,59.78,273.335,9.41,8,83
Freyburg,51.2,276.46,4.6,75,80
Villaespasa,42.1,274.15,3.6,68,100
Tresbœuf,47.88,279.15,1.5,80,100
Nabari,34.62,276.15,1,75,70
Lisov,49.02,272.61,7.16,92,90
Lugano,46.01,272.76,1.5,0,63
Piriyapatna,12.34,284.86,2.96,0,85
Orchamps,47.15,273.68,2.1,90,99
San Martín de Valvení,41.76,270.76,3.31,0,89
Muchamiel,38.42,276.15,2.6,0,51
Arrondissement d'Arcachon,44.59,279.15,2.6,90,87
Hazel Grove,53.38,281.14,4.1,90,87
Abdanan,32.99,272.585,1.76,8,80
Tezu,27.92,281.81,0.96,0,54
Plymouth,50.37,280.15,3.06,75,93
Hennethal,50.23,275.48,4.1,75,93
Aguilar de Bureba,42.59,275.22,3.6,80,100
Rizhao,35.43,270.06,2.11,0,78
Jambrina,41.39,271.15,3.1,0,86
Oberengstringen,47.41,272.15,2.1,90,92
Escalos de Baixo,39.89,270.51,2.31,0,83
Waldegg,47.87,273.15,7.2,75,79
Somain,50.36,278.8,4.1,90,93
Riberas,43.51,280.15,0.5,75,75
Heinsen,51.88,278.91,5.1,88,87
Nikitsch,47.53,271.61,7.2,75,82
Zechin,52.6,278.15,6.2,75,86
Repino,60.17,274.15,5,75,86
Patos,-7.02,299.885,4.31,20,45
Quankou,29.5,273.235,0.96,80,100
Agulo,28.19,290.71,5.1,8,63
Departamento de Itatí,-27.33,295.46,5.76,80,96
Geping,27.65,275.935,0.31,76,100
Middleville,42.71,271.21,2.1,90,60
Bedford,38.59,274.88,2.46,1,57
Longonjo,-12.91,288.835,1.71,24,78
Ochtmersleben,52.16,276.86,6.96,88,96
Cerro Grande,13.82,292.15,5.1,75,77
Maxdorf,49.49,275.41,2.6,90,100
Tercis-les-Bains,43.67,276.54,1,88,80
Kalach-na-Donu,48.69,275.15,10,90,94
Rabanera del Pinar,41.89,274.15,3.6,32,100
Sainte-Catherine,45.4,257.49,9.3,20,59
San Jose del Boqueron,15.48,295.71,2.1,90,94
Kalpetta,11.61,295.15,2.1,20,88
Dukuhmaja,-7.01,295.76,1.16,68,99
Villanua,42.68,273.15,4.6,0,87
Berwyn,40.04,271.91,1.5,1,30
Palisade,39.11,273.4,2.1,90,88
Markesan,43.71,270.68,3.1,90,70
Yesilova,37.51,279.18,2.6,75,80
Canitar,-23.01,297.56,4.51,24,74
Varennes-le-Grand,46.72,273.66,2.1,90,96
Bezirk Gäu,47.3,272.15,1.5,75,100
Angaïs,43.23,274.65,1.5,90,80
Jiaozuo,35.24,262.735,0.91,0,62
Mepunga East,-38.45,293.96,4.21,32,79
Bádames,43.36,280.09,3.1,90,81
Bois-Colombes,48.92,279.4,2.1,0,87
Kadujajar,-6.75,295.885,1.86,48,96
Sainte-Rose,-21.13,299.15,1,48,74
Rancho El Aguajito,32.42,289.75,5.1,75,75
Cistrières,45.32,272.66,0.5,90,86
Trulben,49.13,273.58,3.6,90,97
Laiwu,36.19,264.885,1.21,8,74
Curug,-7.14,295.76,1.16,68,99
Yangzongnan Hengjie,24.82,277.15,4,0,100
Archidona,37.1,276.56,1.5,40,75
Santorcaz,40.47,272.66,1,0,74
Camerota,40.03,269.735,1.66,8,100
Gubkinskiy,64.43,240.86,3.26,44,40
Burzenin,51.46,273.15,6.2,90,95
Vegacervera,42.89,266.15,1.5,0,92
Forest,32.36,287.11,1.41,1,35
Le Dossay,50.67,278.96,3.6,75,100
Kafr Ayn,32.05,281.15,1.5,0,87
Hohengebraching,48.97,272.37,4.1,90,97
Soustons,43.75,277.14,1,88,80
Demern,53.73,279.15,5.7,75,75
Lebrina,-41.17,295.15,5.7,0,53
Robecco dOglio,45.26,273.75,2.6,0,92
Wangyizhendian,31.33,268.085,1.31,68,78
Ouakam,14.72,294.71,4.1,0,88
Dolni Chiflik,42.98,273.26,4.1,0,79
Hubert-Folie,49.13,279.15,3.1,75,100
Kalchreuth,49.57,272.76,3.6,75,98
Changwat Nakhon Nayok,14.17,298.64,1.26,32,83
Nahorkatiya,27.28,280.06,0.96,0,85
Kotzenbull,54.33,277.87,6.2,75,87
Dentsville,34.06,280.47,2.1,1,41
Ashley,46.03,259.61,4.41,36,86
Teloché,47.88,277.76,1.31,88,93
El Ojochal,13.17,305.64,3.1,40,41
Sonamukhi,23.3,281.46,1.26,0,79
Guananico,19.73,298.12,2.6,40,78
Vvedenka,49.82,269.15,3,90,92
Sankt Johann bei Herberstein,47.21,270.15,0.5,75,73
Coaldale,49.72,282.15,3.6,75,36
Teis,42.27,278.15,1,0,75
Kachhwa,25.22,281.685,1.26,0,82
Sprimont,50.51,278.35,3.6,75,100
Briec,48.1,280.75,1.5,90,81
Kawengan,-6.94,296.71,1.96,48,100
Rugland,49.4,272.67,4.1,90,98
Monzambano,45.39,273.85,3.1,20,69
Matriz,38.53,289.36,9.56,24,100
Curumani,9.2,300.96,0.86,32,71
Gumly Gumly,-35.12,298.15,3.6,0,65
Branszczyk,52.63,272.15,7.2,90,100
Notre-Dame-de-Pontmain,46.28,256.81,3.16,20,57
Sabile,57.05,272.31,5.36,92,89
Koeln-Muelheim,50.96,279.82,7.7,75,87
Schusterkrug,54.38,277.65,4.6,75,80
Bad Sooden-Allendorf,51.28,279.15,3.6,75,81
Geismar,51.23,277.16,5.7,75,93
Xiaocha,36.15,264.085,3.41,80,71
Hunter,36.37,277.55,1.41,1,38
Anjo,34.96,275.79,5.1,75,60
Saint-Maurice,46.2,272.51,0.5,76,63
Diveyevo,55.04,262.485,3.06,48,88
Tacurong,6.68,298.11,1.76,92,83
Nouvoitou,48.04,279.15,1.5,80,100
Peguerinos,40.63,272.63,1.5,0,84
Villeneuve-la-Rivière,42.7,279.15,11.3,0,52
Big Trout Lake,53.82,252.15,2.6,1,70
Qachas Nek,-30.12,289.185,2.21,0,25
Belinskiy,52.96,260.685,1.41,80,81
Saint-Sauveur-de-Puynormand,45,278.66,3.6,90,86
Streetsboro,41.24,270.02,1.16,1,66
Murg,47.57,272.35,2.1,90,92
Luesia,42.37,275.09,9.3,0,64
San Miguel Xico,19.27,288.31,1.11,8,39
Mennecy,48.57,279.57,3.1,90,93
Bobrach,48.93,272.685,4.76,88,97
Manchester,53.48,281.14,4.1,90,87
Kludenbach,49.98,275.95,5.1,90,100
Argos,41.24,271.26,2.6,40,68
Alcala de los Gazules,36.46,281.24,1.5,20,85
Zimogor’ye,56.1,261.86,5,80,85
Canchy,49.33,279.66,3.1,75,100
Saint-Martin-Belle-Roche,46.38,273.15,0.5,90,96
Adelsheim,49.4,273.95,5.1,90,92
Gurk,46.87,270.15,2.1,75,58
Rottne,57.02,271.15,2.1,12,92
Ersingen,48.28,271.41,5.7,75,92
Riviera Beach,26.78,295.6,4.1,90,60
Masburg,50.25,277.2,4.6,88,100
Ravels,51.37,279.15,3.6,75,93
Salvatierra de Santiago,39.29,270.935,1.51,0,71
Detroit Beach,41.93,270.27,1.61,90,70
Okehampton,50.74,280.15,3.71,75,93
Cosamaloapan de Carpio,18.37,298.935,1.76,0,64
Pende,-7.33,295.76,1.16,68,99
Acquasanta Terme,42.77,263.15,4.6,8,85
Winlock,46.49,283.09,2.1,1,87
Condé-sur-Seulles,49.23,279.15,3.1,75,100
Al Hamdi,15.95,281.735,2.46,0,84
Beardstown,40.02,272.74,3.1,90,93
Mischendorf,47.2,270.15,0.5,75,73
Euleilah,-24.45,300.15,6.2,0,61
Banjar Tengah,-8.45,300.15,1.5,20,88
Corsico,45.43,272.37,1,0,69
Palaia Fokaia,37.72,282.15,2.1,90,93
Bopfingen,48.85,272.37,7.2,92,86
Opglabbeek,51.04,279.15,2.6,90,93
Warren,42.48,270.13,1.46,90,70
Avia,42.07,273.15,0.26,0,65
Gazzo Veronese,45.14,273.52,3.1,20,82
Saint-Barthélemy-de-Bussière,45.63,276.65,3.1,90,100
Porto Real do Colegio,-10.19,297.46,3.46,88,85
Politischer Bezirk Lilienfeld,47.92,271.135,5.71,92,81
Vranic,44.6,266.61,3.6,0,92
Xiancun,26.94,282.81,0.56,12,91
Las Lagunas,19.53,298.18,2.6,40,88
Breiholz,54.2,277.63,4.6,75,80
Törmänen,68.6,273.15,11.8,90,92
Akouda,35.87,280.55,4.1,0,70
Capdenac,44.58,272.64,5.7,90,99
Cisano Bergamasco,45.74,272.13,2.6,0,69
Szikszo,48.2,263.15,0.5,80,85
Novaya,55.92,261.64,2,0,92
Eggesin,53.68,277.15,4.6,90,93
Cruzes,-9.65,294.435,3.11,48,89
Monasterio de Rodilla,42.46,274.15,3.6,80,100
Wochenend West,52.47,278.15,5.7,90,86
Sumirago,45.74,271.92,1.5,0,63
Lalmatie,-20.19,299.15,1,20,88
San Juan del Rebollar,41.75,264.86,0.76,0,77
Munkbrarup,54.8,277.55,6.7,56,86
Plandiste,45.23,270.15,1.5,75,86
Ernei,46.6,268.05,2.6,88,85
Altbleyen,52.59,273.735,5.46,44,95
Alilem,16.89,290.135,1.51,8,89
Grellsbüll,54.87,277.35,6.7,56,86
Nirgua,10.16,294.885,1.51,8,75
Ahlat,38.75,258.81,1.16,48,78
Sao Jose da Laje,-9.01,299.15,3.6,20,69
Pozohondo,38.72,271.15,2.6,0,58
Wola Zarczycka,50.29,268.15,5.7,75,73
Peralta,42.36,276.47,9.3,20,64
Isakly,54.13,261.835,5.71,80,87
Swanquarter,35.41,276.21,4.56,1,43
Bourg-la-Reine,48.78,279.58,3.1,75,93
"Achim, Stadt",53.01,279.59,4.6,75,87
Draganesti,46.62,269.15,4.6,76,85
San Zenon,9.24,301.81,0.86,12,66
Wulgulmerang,-37.08,299.385,1.21,0,63
Diriomo,11.88,304.15,7.2,20,40
La Salle-et-Chapelle-Aubry,47.25,278.13,1.5,75,87
Berkheim,48.05,270.94,5.7,75,92
Dampierre,47.16,273.68,2.1,90,94
Braffais,48.76,280.15,1.5,75,93
Tiandian,31.03,268.085,1.31,68,78
Murupara,-38.47,297.085,1.51,92,50
Pueblo Nuevo,15.28,295.15,2.1,90,94
Corleto Perticara,40.38,271.985,2.06,76,100
Mitryayevo,56.17,263.835,3.66,88,85
Delta,48.98,283.33,3.6,75,76
Ottmarsheim,47.78,273.15,2.6,75,92
Dipshorn,53.17,279.61,4.6,75,87
Ajaccio,41.92,273.94,3.1,0,100
Pradales,41.46,265.71,1.96,0,84
Dackscheid,50.12,276.14,2.6,90,100
Highland Heights,41.55,269.95,1.16,1,66
Benifallim,38.65,276.15,2.6,0,51
Liancai,35.56,261.335,1.56,76,75
Hongguang,32.06,276.81,3.21,64,94
Oberaigen,48.05,272.15,5.7,75,86
Hauptstuhl,49.4,274.48,2.6,90,100
Dubienka,51.05,267.735,8.46,92,90
Walschleben,51.07,275.15,5.7,75,93
San Buenaventura,19.27,287.46,1.26,44,51
Verride,40.13,277.15,1,0,86
Forbesganj,26.3,281.21,1.06,0,82
Bavaria,4.33,301.81,1.61,68,52
La Cuesta,41.08,262.71,1.11,0,84
Volcano,19.43,297.55,4.6,75,73
Belleray,49.13,275.1,2.6,90,93
Granitsa,42.25,256.36,1.06,20,63
Tawaran,-6.91,296.71,1.96,48,100
Putre,-18.2,275.71,1.06,24,64
Jianfeng,18.69,295.085,2.26,68,100
Kirrweiler,49.63,275.36,2.6,90,100
Litchfield,42.84,265.47,6.7,1,42
Delianuova,38.23,279.64,2.6,75,81
